educ,exper,exper_sq,ability,female,union,height,commute_km,birth_month,favorite_number,clothing_color,log_wage
14.993428,16.996777,288.8904,-0.6751783,1.0,1.0,178.08919,1.7,1.0,74.0,blue,4.7042713
13.723472,14.623168,213.83704,-0.14451867,1.0,0.0,164.15544,2.0,4.0,72.0,blue,4.256118
15.295377,10.298152,106.05193,-0.7924199,0.0,1.0,162.50642,4.5,10.0,64.0,white,6.0068865
17.04606,6.765316,45.7695,-0.30796152,1.0,0.0,167.78464,5.7,7.0,20.0,other,4.8387194
13.531693,13.491117,182.01022,-1.8936146,0.0,0.0,158.23038,9.8,2.0,72.0,black,3.8645563
13.531726,11.967427,143.21931,0.2132937,0.0,1.0,188.20544,0.8,11.0,73.0,blue,5.0401773
17.158426,14.475966,209.5536,0.0012054754,0.0,0.0,164.33606,7.0,2.0,71.0,blue,5.2513795
15.534869,13.175859,173.60327,-0.8170886,0.0,1.0,178.31616,2.0,1.0,78.0,other,5.9359536
13.061051,15.247764,232.4943,0.65924567,1.0,0.0,172.0947,8.5,10.0,28.0,other,4.526071
15.08512,7.323824,53.638397,0.93757015,0.0,1.0,160.15466,10.1,2.0,2.0,black,6.3369503
13.073165,16.58697,275.12756,-1.6075599,0.0,0.0,169.94046,8.1,7.0,43.0,gray,3.6308093
13.068541,10.987998,120.7361,-0.76272476,1.0,0.0,177.84003,13.4,9.0,8.0,blue,3.9919674
14.483925,20.376305,415.1938,-0.7691423,0.0,0.0,168.11739,4.1,6.0,13.0,black,4.4062605
10.17344,6.554061,42.955715,-0.9399031,1.0,1.0,181.93114,14.5,10.0,85.0,black,3.443914
10.550164,18.67982,348.93564,0.82947487,0.0,1.0,180.21515,5.7,2.0,92.0,blue,4.675186
12.875425,10.989553,120.77029,-0.19382614,1.0,1.0,179.18915,6.6,12.0,35.0,blue,4.1158066
11.974338,6.74291,45.466835,-0.26451483,1.0,1.0,165.40343,10.4,10.0,23.0,black,5.0042157
14.628494,7.5805707,57.465054,-2.0038624,0.0,0.0,159.20157,0.2,10.0,46.0,gray,4.8019576
12.183951,8.398264,70.53084,0.63541806,0.0,0.0,163.86412,10.6,9.0,15.0,black,4.6211343
11.175392,12.12083,146.9145,-1.2392584,0.0,0.0,171.9624,9.6,7.0,2.0,gray,3.7096536
16.931297,12.614178,159.11748,0.05993263,1.0,0.0,175.45787,3.7,11.0,61.0,blue,4.510794
13.548448,7.1315,50.858288,0.27737695,0.0,0.0,148.28429,0.9,1.0,76.0,black,4.8495474
14.1350565,9.878227,97.57938,1.3606586,0.0,0.0,169.91887,1.0,12.0,64.0,blue,5.1056128
11.150503,20.711351,428.96008,-1.3088204,0.0,0.0,171.58089,25.7,9.0,52.0,black,4.086678
12.911235,18.637716,347.36447,-3.0195122,0.0,0.0,167.22456,11.7,2.0,36.0,blue,4.2233024
14.221846,12.181619,148.39183,0.18384954,0.0,0.0,182.91273,1.4,4.0,67.0,black,5.2072797
11.698013,10.190018,103.836464,1.8005112,1.0,0.0,174.2178,4.4,9.0,69.0,blue,4.335374
